sku,impacted_quantity
Hot Fudge Sundae,204
1-for-1 OREO® McFlurry®,178
Apple Pie,138
OREO® McFlurry®,137
Apple Slices,136
McSpicy® Meal,72
Brownie McFlurry®,67
Mudpie McFlurry®,66
1-for-1 Apple Pie,65
Breakfast Deluxe™ Meal,64
Filet-O-Fish® Meal,63
Strawberry Sundae,59
Hershey’s Hot Fudge Sundae,59
Large French Fries™,53
Double Cheeseburger Meal,43
McWings® (4pc),42
Purple Sweet Potato Hot Fudge Sundae,42
1-for-1 McWings® (4pc),38
Purple Sweet Potato OREO® McFlurry®,38
1-for-1 Chicken McNuggets® (6pc),37
Hashbrown™,37
Snickers® McFlurry®,36
Taro Custard Pie,36
Hershey’s McFlurry®,34
Chicken McNuggets® (4pc) Happy Meal®,32
McWings® (2pc),32
Filet-O-Fish®,31
Strawberry Shortcake McFlurry®,31
Corn Cup (5oz),31
Breakfast Wrap Sausage Meal,31
Double McSpicy® Upsized Meal,31
Nori Shoyu Shaka Shaka Chicken McBites® (9pc),30
Sausage McGriddles with Egg Meal,28
McChicken®,27
Double McSpicy® with Cheese Meal,27
McSpicy® with Cheese Meal,26
Double McSpicy® with Cheese Upsized Meal,25
Cheeseburger Happy Meal®,24
Filet-O-Fish® Upsized Meal,24
1-for-1 McSpicy®,23
McChicken® Meal,23
Hershey's Mudpie McFlurry®,22
Hotcakes™ with Sausage Meal,22
Breakfast Hotcakes (2pc) Happy Meal®,22
Chicken McNuggets® (6pc),22
Dbl Quarter Pounder® with Cheese Upsized Meal,21
Chicken McNuggets® (20pc),21
Roasted Sesame & Seaweed McShaker Fries (L),21
McChicken® with Cheese Meal,21
Chicken McNuggets® (9pc),20
Double Filet-O-Fish® Upsized Meal,19
Choco Banana Pie,19
Happy Sharing Box A Chicken McNuggets® (12pc) + McWings® (8pc),18
Big Breakfast® Meal,18
McSpicy® with Cheese Upsized Meal,18
Pineapple Pie,18
Double Sausage Egg McMuffin® Meal,18
Cheeseburger,18
Double Cheeseburger Upsized Meal,17
Hershey’s Strawberry Sundae,17
Double Cheeseburger,17
McSpicy®,17
Happy Sharing Box B Chicken McNuggets® (6pc) + McWings® (4pc),16
Breakfast Wrap Sausage,16
McGriddles Stack Meal,15
Hotcakes™ Meal,15
McSpicy® Upsized Meal,15
Sausage Egg McMuffin®,14
Buttermilk Crispy Chicken Meal,14
Sweet Paprika Chicken Burger Special,13
1-for-1 Double Chocolate Frappé (M),13
Double Filet-O-Fish® Meal,13
McNuggets® (9pc) Meal,13
Grilled Chicken McWrap® Meal,13
Sausage Egg McMuffin® Meal,13
Hershey's Strawberry Shortcake McFlurry®,13
Big Mac® Upsized Meal,13
Breakfast Wrap Chicken Ham Meal,13
Double McSpicy® Meal,11
Quarter Pounder® with Cheese Upsized Meal,11
Spicy Chicken McNuggets® Special,11
Potato Wedges,10
Hotcakes™,10
Crispy Chicken Burger w Smoky Sauce Special,10
McChicken® Upsized Meal,10
1-for-1 Hashbrown™,10
Creamy Mushroom Double Cheeseburger Meal,10
McNuggets® (6pc) Meal,10
Purple Sweet Potato Strawberry Sundae,9
McWings® (4pc) Meal,9
Crispy Mac 'N Cheesy Wrap (Sausage) Meal,9
Big Mac® Meal,9
Dbl Quarter Pounder® with Cheese Meal,9
Medium French Fries™,9
Scrambled Egg Burger with Sausage Meal,9
